Year,Mth,FH_Zone,Site_Name,Leps_mot,Leps_AF,Chalimus,Cali_mot,Counts_Pens,Mth_txt,Migration,Quarter,Ov_Thrs,Prop_AF
2011,1,2.3,Binns Island,0,0,0,0,2,Jan,Rest of Year,Q1,0,
2011,1,2.3,Dixon Bay,0.1,0.1,0.1,0.2,2,Jan,Rest of Year,Q1,0,1
2011,1,2.3,Fortune Channel,0.4,0.3,0,0,2,Jan,Rest of Year,Q1,0,0.75
2011,1,2.3,McIntyre Lake,0.1,0.1,0,0,2,Jan,Rest of Year,Q1,0,1
2011,1,2.3,Millar Channel,0.1,0,8.2,0,2,Jan,Rest of Year,Q1,0,0
2011,1,2.3,Rant Point,0.2,0.1,0.1,0.2,2,Jan,Rest of Year,Q1,0,0.5
2011,1,2.3,Ross Pass,0.2,0.1,0.9,0.4,2,Jan,Rest of Year,Q1,0,0.5
2011,1,2.3,West Side,0,0,0,0,2,Jan,Rest of Year,Q1,0,
2011,1,2.4,Atrevida,0.1,0,0,0,1,Jan,Rest of Year,Q1,0,0
2011,1,2.4,Cleagh Creek,2.6,0.6,0.8,0.6,2,Jan,Rest of Year,Q1,0,0.231
2011,1,2.4,Esperanza,0.5,0.1,0.1,0,1,Jan,Rest of Year,Q1,0,0.2
2011,1,2.4,Koskimo,0.7,0.5,0,0,1,Jan,Rest of Year,Q1,0,0.714
2011,1,2.4,Mahatta East,0,0,0.1,0,1,Jan,Rest of Year,Q1,0,
2011,1,2.4,Mahatta West,0.3,0.2,0,0,1,Jan,Rest of Year,Q1,0,0.667
2011,1,2.4,Monday Rocks,16.8,7.5,0.6,0.3,1,Jan,Rest of Year,Q1,1,0.446
2011,1,2.4,Muchalat North,0.1,0.1,0,0,1,Jan,Rest of Year,Q1,0,1
2011,1,2.4,Steamer,0.3,0.1,0,0,1,Jan,Rest of Year,Q1,0,0.333
2011,1,2.4,Williamson,0.8,0.5,0,0,1,Jan,Rest of Year,Q1,0,0.625
2011,1,3.1,Ahlstrom,1,0.4,0,0,1,Jan,Rest of Year,Q1,0,0.4
2011,1,3.1,Culloden,0.1,0,0,0.5,1,Jan,Rest of Year,Q1,0,0
2011,1,3.1,Glacial Creek,3,2.2,0.3,0,1,Jan,Rest of Year,Q1,0,0.733
2011,1,3.1,Salten,0,0,0,0,1,Jan,Rest of Year,Q1,0,
2011,1,3.1,Site 13,0.1,0,0,0,1,Jan,Rest of Year,Q1,0,0
2011,1,3.2,Barnes Bay,0.3,0.1,0,0,1,Jan,Rest of Year,Q1,0,0.333
2011,1,3.2,Bickley Bay,0.2,0.1,0,0,1,Jan,Rest of Year,Q1,0,0.5
2011,1,3.2,Brougham Point,0.6,0.2,0,0,1,Jan,Rest of Year,Q1,0,0.333
2011,1,3.2,Chancellor Channel,0.2,0.1,0.4,0.1,1,Jan,Rest of Year,Q1,0,0.5
2011,1,3.2,Conville Bay,1,0.1,0,0.2,1,Jan,Rest of Year,Q1,0,0.1
2011,1,3.2,Far Side,0.4,0.3,0,0,1,Jan,Rest of Year,Q1,0,0.75
2011,1,3.2,Frederick Arm,0.1,0.1,0,0,1,Jan,Rest of Year,Q1,0,1
2011,1,3.2,Hardwicke,0.2,0.1,0.2,0,1,Jan,Rest of Year,Q1,0,0.5
2011,1,3.2,Lees Bay,0.2,0,0.2,0,1,Jan,Rest of Year,Q1,0,0
2011,1,3.2,Phillips Arm,0.1,0.1,0,0,1,Jan,Rest of Year,Q1,0,1
2011,1,3.2,Raza Island,1.5,1,0.1,0.2,1,Jan,Rest of Year,Q1,0,0.667
