Year,Mth,Month,Facility Reference Number,Licence Holder,Zone,FH_Zone,Site_Name,Latitude,Longitude,Sample Type,Date,Leps_mot,Leps_AF,Chalimus,Cali_mot,Counts_Pens,Prop_AF,Year Class
2015,4,April,819,Cermaq Canada,Broughton Archipelago,3.3,Cecil Island,50.85123,-126.71498,Follow-up,07-Apr-15,0.5,0,0,0.05,1,0,Brood
2017,9,September,458,Cermaq Canada,Broughton Archipelago,3.3,Cypress Harbour,50.83772,-126.66313,Routine monitoring,30-Sep-17,0.07,0,0.03,0,1,0,Brood
2011,9,September,1472,Mainstream Canada,Clayoquot Sound,2.3,West Side,49.27928,-125.83065,Follow-up,16-Sep-11,0.15,0,0,0,1,0,1
2013,10,October,303,Marine Harvest Canada,Sunshine Coast,3.1,Glacial Creek,50.01008,-123.90241,Routine monitoring,01-Oct-13,0.15,0,0,0,1,0,Brood
2014,5,May,221,Grieg Seafood BC,Sunshine Coast,3.1,Vantage,49.67226,-123.86019,Routine monitoring,10-May-14,0.2,0,0,0,1,0,2
2011,3,March,1145,Marine Harvest Canada,Broughton Archipelago,3.3,Potts Bay,50.6492,-126.6182,Routine monitoring,13-Mar-11,0.03,0,0,0.1,2,0,Brood
2011,5,May,1825,Grieg Seafood BC,Broughton Archipelago,3.3,Noo-la,50.60799,-126.36301,Follow-up,05-May-11,0.38,0,0,0,2,0,1
2011,5,May,1145,Marine Harvest Canada,Broughton Archipelago,3.3,Potts Bay,50.6492,-126.6182,Routine monitoring,21-May-11,0.23,0,10.78,0.25,2,0,Brood
2011,6,June,1145,Marine Harvest Canada,Broughton Archipelago,3.3,Potts Bay,50.6492,-126.6182,Routine monitoring,04-Jun-11,0.6,0,8.35,0,2,0,Brood
2011,10,October,819,Mainstream Canada,Broughton Archipelago,3.3,Cecil Island,50.85123,-126.71498,Routine monitoring,15-Oct-11,0.03,0,0,0.1,2,0,Brood
2013,7,July,728,Mainstream Canada,Broughton Archipelago,3.3,Sir Edmund Bay,50.83096,-126.59684,Routine monitoring,02-Jul-13,0.03,0,0,0,2,0,2
2013,8,August,819,Mainstream Canada,Broughton Archipelago,3.3,Cecil Island,50.85123,-126.71498,Routine monitoring,04-Aug-13,0.05,0,0,0,2,0,Brood
2014,7,July,1144,Cermaq Canada,Broughton Archipelago,3.3,Burdwood,50.7969,-126.49581,Routine monitoring,02-Jul-14,0.05,0,0.03,0.08,2,0,2
2017,3,March,141,Marine Harvest Canada,Broughton Archipelago,3.3,Port Elizabeth,50.67099,-126.47653,Routine monitoring,02-Mar-17,0.2,0,0.05,0,2,0,1
2017,3,March,141,Marine Harvest Canada,Broughton Archipelago,3.3,Port Elizabeth,50.67099,-126.47653,Routine monitoring,16-Mar-17,0.1,0,0.33,0,2,0,1
2017,3,March,465,Marine Harvest Canada,Broughton Archipelago,3.3,Swanson,50.61871,-126.70473,Routine monitoring,15-Mar-17,0.08,0,0.08,0,2,0,1
2017,4,April,821,Marine Harvest Canada,Broughton Archipelago,3.3,Glacier Falls,50.84785,-126.31921,Routine monitoring,10-Apr-17,0.08,0,0.03,0,2,0,1
2017,5,May,1586,Marine Harvest Canada,Broughton Archipelago,3.3,Doctor Islets,50.65373,-126.28925,Routine monitoring,17-May-17,0.03,0,0.15,0.15,2,0,2
2017,5,May,821,Marine Harvest Canada,Broughton Archipelago,3.3,Glacier Falls,50.84785,-126.31921,Routine monitoring,06-May-17,0.28,0,1.7,0.05,2,0,1
2017,6,June,1586,Marine Harvest Canada,Broughton Archipelago,3.3,Doctor Islets,50.65373,-126.28925,Routine monitoring,27-Jun-17,0.08,0,0.9,0.05,2,0,2
2017,6,June,1145,Marine Harvest Canada,Broughton Archipelago,3.3,Potts Bay,50.6492,-126.6182,Routine monitoring,24-Jun-17,0.13,0,2.65,0.38,2,0,Brood
2017,6,June,465,Marine Harvest Canada,Broughton Archipelago,3.3,Swanson,50.61871,-126.70473,Routine monitoring,07-Jun-17,0.13,0,8.63,0,2,0,2
2017,7,July,1618,Marine Harvest Canada,Broughton Archipelago,3.3,Humphrey Rock,50.69682,-126.25532,Routine monitoring,01-Jul-17,0.2,0,0.83,0.03,2,0,1
2017,7,July,1059,Marine Harvest Canada,Broughton Archipelago,3.3,Sargeaunt Pass,50.67346,-126.18595,Routine monitoring,22-Jul-17,0.15,0,0.05,0.05,2,0,1
2018,1,January,143,Marine Harvest Canada,Broughton Archipelago,3.3,Larsen Island,50.60175,-126.63284,Routine monitoring,24-Jan-18,0.1,0,0.7,0,2,0,1
2018,2,February,141,Marine Harvest Canada,Broughton Archipelago,3.3,Port Elizabeth,50.67099,-126.47653,Routine monitoring,08-Feb-18,0.03,0,0.13,0.28,2,0,1
2018,2,February,141,Marine Harvest Canada,Broughton Archipelago,3.3,Port Elizabeth,50.67099,-126.47653,Routine monitoring,22-Feb-18,0.13,0,0.08,0.2,2,0,1
2018,4,April,141,Marine Harvest Canada,Broughton Archipelago,3.3,Port Elizabeth,50.67099,-126.47653,Routine monitoring,06-Apr-18,0.03,0,0.05,1.4,2,0,1
2018,5,May,1618,Marine Harvest Canada,Broughton Archipelago,3.3,Humphrey Rock,50.69682,-126.25532,Routine monitoring,19-May-18,0.03,0,0,0,2,0,2
2018,5,May,1059,Marine Harvest Canada,Broughton Archipelago,3.3,Sargeaunt Pass,50.67346,-126.18595,Routine monitoring,09-May-18,0.03,0,0,0,2,0,2
2018,5,May,465,Marine Harvest Canada,Broughton Archipelago,3.3,Swanson,50.61871,-126.70473,Routine monitoring,08-May-18,0.13,0,0.75,0.2,2,0,1
2018,6,June,1586,Marine Harvest Canada,Broughton Archipelago,3.3,Doctor Islets,50.65373,-126.28925,Routine monitoring,03-Jun-18,0.08,0,0.43,0,2,0,1
2018,6,June,1586,Marine Harvest Canada,Broughton Archipelago,3.3,Doctor Islets,50.65373,-126.28925,Routine monitoring,17-Jun-18,0.08,0,0.1,0,2,0,1
2018,6,June,821,Marine Harvest Canada,Broughton Archipelago,3.3,Glacier Falls,50.84785,-126.31921,Routine monitoring,10-Jun-18,0.08,0,1.03,0.03,2,0,2
2018,6,June,143,Marine Harvest Canada,Broughton Archipelago,3.3,Larsen Island,50.60175,-126.63284,Routine monitoring,19-Jun-18,0.3,0,1.13,0.85,2,0,1
2018,6,June,467,Marine Harvest Canada,Broughton Archipelago,3.3,Midsummer,50.65784,-126.66298,Routine monitoring,21-Jun-18,0.33,0,0.98,0.03,2,0,2
2018,6,June,820,Marine Harvest Canada,Broughton Archipelago,3.3,Wicklow Point,50.78659,-126.69153,Routine monitoring,10-Jun-18,0.03,0,1.75,1.45,2,0,1
2018,7,July,1586,Marine Harvest Canada,Broughton Archipelago,3.3,Doctor Islets,50.65373,-126.28925,Routine monitoring,02-Jul-18,0.05,0,0.1,0,2,0,1
2018,7,July,1618,Marine Harvest Canada,Broughton Archipelago,3.3,Humphrey Rock,50.69682,-126.25532,Routine monitoring,16-Jul-18,0.03,0,0,0,2,0,2
2018,7,July,467,Marine Harvest Canada,Broughton Archipelago,3.3,Midsummer,50.65784,-126.66298,Routine monitoring,31-Jul-18,0.03,0,0.03,0,2,0,2
2018,7,July,1059,Marine Harvest Canada,Broughton Archipelago,3.3,Sargeaunt Pass,50.67346,-126.18595,Routine monitoring,04-Jul-18,0.03,0,0,0,2,0,2
2018,8,August,1586,Marine Harvest Canada,Broughton Archipelago,3.3,Doctor Islets,50.65373,-126.28925,Routine monitoring,13-Aug-18,0.05,0,0,0,2,0,1
2018,8,August,465,Marine Harvest Canada,Broughton Archipelago,3.3,Swanson,50.61871,-126.70473,Routine monitoring,08-Aug-18,0.1,0,0.25,0.1,2,0,1
2018,10,October,1586,Marine Harvest Canada,Broughton Archipelago,3.3,Doctor Islets,50.65373,-126.28925,Routine monitoring,22-Oct-18,0.13,0,0.2,0.15,2,0,1
2019,4,April,458,Cermaq Canada,Broughton Archipelago,3.3,Cypress Harbour,50.83772,-126.66313,Routine monitoring,17-Apr-19,0.04,0,0.03,0.38,2,0,Brood
2019,4,April,1059,MOWI Canada West,Broughton Archipelago,3.3,Sargeaunt Pass,50.67346,-126.18595,Routine monitoring,04-Apr-19,0.03,0,0.25,0.08,2,0,1
2019,4,April,1059,MOWI Canada West,Broughton Archipelago,3.3,Sargeaunt Pass,50.67346,-126.18595,Routine monitoring,18-Apr-19,0.2,0,0.83,0,2,0,1
2019,5,May,1586,MOWI Canada West,Broughton Archipelago,3.3,Doctor Islets,50.65373,-126.28925,Routine monitoring,08-May-19,0.03,0,0.08,0.03,2,0,1
2019,5,May,465,MOWI Canada West,Broughton Archipelago,3.3,Swanson,50.61871,-126.70473,Routine monitoring,20-May-19,0.03,0,0.35,0.1,2,0,2
2019,6,June,1586,MOWI Canada West,Broughton Archipelago,3.3,Doctor Islets,50.65373,-126.28925,Routine monitoring,03-Jun-19,0.05,0,2.08,0.35,2,0,2
2019,6,June,1586,MOWI Canada West,Broughton Archipelago,3.3,Doctor Islets,50.65373,-126.28925,Routine monitoring,17-Jun-19,0.1,0,0.55,0.2,2,0,2
2019,6,June,739,MOWI Canada West,Broughton Archipelago,3.3,Upper Retreat,50.72183,-126.5681,Routine monitoring,22-Jun-19,0.35,0,0.78,0,2,0,1
2019,7,July,143,MOWI Canada West,Broughton Archipelago,3.3,Larsen Island,50.60175,-126.63284,Routine monitoring,20-Jul-19,0.3,0,1.33,0.2,2,0,1
2019,7,July,465,MOWI Canada West,Broughton Archipelago,3.3,Swanson,50.61871,-126.70473,Routine monitoring,10-Jul-19,0.08,0,2.83,0.28,2,0,2
2019,8,August,1618,MOWI Canada West,Broughton Archipelago,3.3,Humphrey Rock,50.69682,-126.25532,Routine monitoring,21-Aug-19,0.03,0,0,0,2,0,1
2019,8,August,1059,MOWI Canada West,Broughton Archipelago,3.3,Sargeaunt Pass,50.67346,-126.18595,Routine monitoring,09-Aug-19,0.08,0,0,0,2,0,1
2019,8,August,1059,MOWI Canada West,Broughton Archipelago,3.3,Sargeaunt Pass,50.67346,-126.18595,Routine monitoring,22-Aug-19,0.05,0,0.03,0,2,0,1
2019,9,September,1618,MOWI Canada West,Broughton Archipelago,3.3,Humphrey Rock,50.69682,-126.25532,Routine monitoring,17-Sep-19,0.08,0,0,0,2,0,1
2019,9,September,1059,MOWI Canada West,Broughton Archipelago,3.3,Sargeaunt Pass,50.67346,-126.18595,Routine monitoring,06-Sep-19,0.05,0,0.03,0,2,0,1
2019,10,October,1618,MOWI Canada West,Broughton Archipelago,3.3,Humphrey Rock,50.69682,-126.25532,Routine monitoring,02-Oct-19,0.1,0,0.03,0,2,0,2
2019,11,November,1618,MOWI Canada West,Broughton Archipelago,3.3,Humphrey Rock,50.69682,-126.25532,Routine monitoring,13-Nov-19,0.13,0,0.6,0.18,2,0,1
2019,11,November,1059,MOWI Canada West,Broughton Archipelago,3.3,Sargeaunt Pass,50.67346,-126.18595,Routine monitoring,25-Nov-19,0.05,0,0.05,0.43,2,0,1
